"config_file","base_vc_address","base_dc_name","base_cluster_name","base_rp_name","base_hv_name","nest_vc_address","nest_dc_name","nest_cluster_name","template_vm_name","vm_num","vm_name","vc_hv_name","nest_hv_hostname","hv_ip_vmk0"
".\configs-homelab\cluster\conf_lab-vc-01_lab-cluster-11.ps1","infra-vc-01.go-lab.jp","infra-dc-01","infra-cluster-01","rp-04-lab-nested","infra-esxi-01.go-lab.jp","lab-vc-01.go-lab.jp","lab-dc-11","lab-cluster-11","esxi70u3c-template-01","1","vm-lab-esxi-192.168.10.111","192.168.10.111","lab-esxi-111","192.168.10.111"
".\configs-homelab\cluster\conf_lab-vc-01_lab-cluster-11.ps1","infra-vc-01.go-lab.jp","infra-dc-01","infra-cluster-01","rp-04-lab-nested","infra-esxi-01.go-lab.jp","lab-vc-01.go-lab.jp","lab-dc-11","lab-cluster-11","esxi70u3c-template-01","2","vm-lab-esxi-192.168.10.112","192.168.10.112","lab-esxi-112","192.168.10.112"
".\configs-homelab\cluster\conf_lab-vc-01_lab-cluster-11.ps1","infra-vc-01.go-lab.jp","infra-dc-01","infra-cluster-01","rp-04-lab-nested","infra-esxi-01.go-lab.jp","lab-vc-01.go-lab.jp","lab-dc-11","lab-cluster-11","esxi70u3c-template-01","3","vm-lab-esxi-192.168.10.113","192.168.10.113","lab-esxi-113","192.168.10.113"
".\configs-homelab\cluster\conf_lab-vc-02_nsx-cluster-21.ps1","infra-vc-01.go-lab.jp","infra-dc-01","infra-cluster-01","rp-04-lab-nested","infra-esxi-01.go-lab.jp","lab-vc-02.go-lab.jp","lab-dc-21","nsx-cluster-21","esxi70u3-template-01","1","vm-lab-esxi-192.168.10.121","192.168.10.121","lab-esxi-121","192.168.10.121"
".\configs-homelab\cluster\conf_lab-vc-02_nsx-cluster-21.ps1","infra-vc-01.go-lab.jp","infra-dc-01","infra-cluster-01","rp-04-lab-nested","infra-esxi-01.go-lab.jp","lab-vc-02.go-lab.jp","lab-dc-21","nsx-cluster-21","esxi70u3-template-01","2","vm-lab-esxi-192.168.10.122","192.168.10.122","lab-esxi-122","192.168.10.122"
".\configs-homelab\cluster\conf_lab-vc-02_vsan-cluster-21.ps1","infra-vc-01.go-lab.jp","infra-dc-01","infra-cluster-01","rp-04-lab-nested","infra-esxi-01.go-lab.jp","lab-vc-02.go-lab.jp","lab-dc-02","vsan-cluster-21","esxi70u2-template-01","1","vm-lab-esxi-192.168.10.121","192.168.10.121","lab-esxi-121","192.168.10.121"
".\configs-homelab\cluster\conf_lab-vc-02_vsan-cluster-21.ps1","infra-vc-01.go-lab.jp","infra-dc-01","infra-cluster-01","rp-04-lab-nested","infra-esxi-01.go-lab.jp","lab-vc-02.go-lab.jp","lab-dc-02","vsan-cluster-21","esxi70u2-template-01","2","vm-lab-esxi-192.168.10.122","192.168.10.122","lab-esxi-122","192.168.10.122"
".\configs-homelab\cluster\conf_lab-vc-02_vsan-cluster-21.ps1","infra-vc-01.go-lab.jp","infra-dc-01","infra-cluster-01","rp-04-lab-nested","infra-esxi-01.go-lab.jp","lab-vc-02.go-lab.jp","lab-dc-02","vsan-cluster-21","esxi70u2-template-01","3","vm-lab-esxi-192.168.10.123","192.168.10.123","lab-esxi-123","192.168.10.123"
".\configs-homelab\cluster\conf_lab-vc-02_vsan-cluster-21.ps1","infra-vc-01.go-lab.jp","infra-dc-01","infra-cluster-01","rp-04-lab-nested","infra-esxi-01.go-lab.jp","lab-vc-02.go-lab.jp","lab-dc-02","vsan-cluster-21","esxi70u2-template-01","4","vm-lab-esxi-192.168.10.124","192.168.10.124","lab-esxi-124","192.168.10.124"
".\configs-homelab\cluster\conf_lab-vc-02_vsan-cluster-21.ps1","infra-vc-01.go-lab.jp","infra-dc-01","infra-cluster-01","rp-04-lab-nested","infra-esxi-01.go-lab.jp","lab-vc-02.go-lab.jp","lab-dc-02","vsan-cluster-21","esxi70u2-template-01","5","vm-lab-esxi-192.168.10.125","192.168.10.125","lab-esxi-125","192.168.10.125"
